iter	Accuracy	Logloss
0	0.729286615	0.6860143317
1	0.729470318	0.6793249363
2	0.7293353436	0.6729831112
3	0.7299145539	0.6669264366
4	0.7298333814	0.661173417
5	0.7298651677	0.6555200525
6	0.7298647501	0.6500838549
7	0.7299977933	0.6450722507
8	0.7300748425	0.6400958135
9	0.7301039461	0.6354780775
10	0.7302253291	0.6308532923
11	0.7302665208	0.6266119661
12	0.7305184939	0.6223494803
13	0.7305752395	0.6183819896
14	0.7306137798	0.6146542744
15	0.7306257427	0.6108217292
16	0.730682718	0.607409868
17	0.7307499337	0.6039095804
18	0.7307763649	0.6008619915
19	0.7307582953	0.5976842794
20	0.7308414303	0.5947619319
21	0.7308229013	0.5920368322
22	0.7308421088	0.5892676231
23	0.7308611284	0.5868047253
24	0.7308565353	0.5842785414
25	0.7308759203	0.5819581598
26	0.7309320918	0.579692782
27	0.7309552138	0.5776760179
28	0.7309882215	0.5756384774
29	0.7309925745	0.5737929819
