iter	Passed	Remaining
0	11554	1143865
1	14425	706831
2	35467	1146780
3	36829	883913
4	36907	701243
5	42675	668580
6	44025	584905
7	44105	507209
8	69265	700352
9	96646	869822
10	96752	782812
11	96802	709886
12	96847	648135
13	97141	596726
14	120496	682815
15	121804	639473
16	121866	594993
17	123200	561245
18	123402	526085
19	124872	499491
20	151058	568268
21	177495	629303
22	203866	682510
23	209918	664742
24	209976	629928
25	210540	599229
26	236224	638680
27	263131	676624
28	263188	644357
29	290142	676998
30	290184	645895
31	290283	616852
32	314991	639528
33	315653	612738
34	317126	588950
35	317203	563916
36	317308	540282
37	317351	517783
38	317848	497147
39	320866	481299
40	321385	462481
41	321571	444075
42	321685	426419
43	321816	409585
44	321882	393411
45	321927	377914
46	350148	394847
47	350221	379406
48	351580	365930
49	351649	351649
50	376729	361956
51	377052	348048
52	401959	356454
53	402014	342456
54	402061	328959
55	402183	316001
56	402226	303433
57	428287	310139
58	428373	297682
59	428429	285619
60	451336	288559
61	457605	280467
62	457650	268778
63	482777	271562
64	508477	273795
65	508540	261975
66	534656	263338
67	534702	251624
68	534759	240254
69	534797	229198
70	560228	228825
71	586747	228179
72	587387	217252
73	614787	216006
74	614842	204947
75	615029	194219
76	626700	187196
77	626777	176783
78	652549	173462
79	664755	166188
80	664801	155941
81	689764	151411
82	690124	141350
83	690177	131462
84	716385	126421
85	741121	120647
86	741172	110749
87	768084	104738
88	792648	97967
89	818819	90979
90	824723	81566
91	824848	71725
92	850063	63983
93	850715	54300
94	850900	44784
95	852202	35508
96	878282	27163
97	884391	18048
98	884519	8934
99	911080	0
